grid_id,long,lat,marine_species_richness,PD,co1_genetic_diversity_mean,long_deg,lat_deg,long_dd,lat_dd,DepthMin,DepthMax,DepthMean,ClimZoneCode,SSTAnMean,SBTAnMean,SalinityMean,SalinityBMean,PrimProdMean,IceConAnn,OxyMean,OxyBMean,LandDist,Shelf,Slope,Abyssal,TidalRange,Coral,Estuary,Seamount,MPA,matched_CenterLong,matched_CenterLat
122,-5597579,-6737636,56,16.13702981,0.006102332,-55.97579,-67.37636,-55.97579,-67.37636,722,1282,1019,SP,-1.76357305049896,0.729417026042938,34.0550956726074,34.6939964294434,1.76999997347593,0.911041021347046,340.708129882813,268.264373779297,267,0.0,1195.349,0.0,-9999.0,0.0,0.0,0,,-55.75,-67.25
123,-5211679,-6737636,59,16.5789983,0.006933598,-52.11679,-67.37636,-52.11679,-67.37636,3130,3339,3245,SP,-1.75946199893951,-0.323709011077881,34.0178489685059,34.652042388916,1.47500005550683,0.904672026634216,340.456726074219,256.824920654297,380,0.0,1195.349,0.0,-9999.0,0.0,0.0,0,,-52.25,-67.25
124,-4825779,-6737636,52,15.92100186,0.005425364,-48.25779,-67.37636,-48.25779,-67.37636,3694,3903,3782,SP,-1.74774694442749,-0.476009011268616,34.0454635620117,34.652042388916,1.31299998611212,0.847208976745605,332.638549804688,260.659057617188,514,0.0,1195.349,0.0,-9999.0,0.0,0.0,0,,-48.25,-67.25
125,-4439879,-6737636,50,14.71075231,0.005943331,-44.39879,-67.37636,-44.39879,-67.37636,4053,4158,4106,SP,-1.69630002975464,-0.596338987350464,34.0612640380859,34.6488037109375,1.3160000089556,0.764959990978241,323.245483398438,263.86279296875,670,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-44.25,-67.25
126,-4053979,-6737636,50,14.20139616,0.006076135,-40.53979,-67.37636,-40.53979,-67.37636,4338,4456,4397,SP,-1.65652203559875,-0.721463978290558,34.0699653625488,34.645580291748,1.4049999881535802,0.710990011692047,321.0185546875,265.894714355469,764,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-40.75,-67.25
127,-3668079,-6737636,48,12.52900591,0.00683674,-36.68079,-67.37636,-36.68079,-67.37636,4486,4550,4521,SP,-1.6135059595108,-0.718748986721039,34.0912666320801,34.6461906433105,1.51099998038262,0.668902993202209,324.008819580078,267.780029296875,830,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-36.75,-67.25
128,-3282179,-6737636,46,12.30129086,0.006904641,-32.82179,-67.37636,-32.82179,-67.37636,4585,4667,4612,SP,-1.5640310049057,-0.755327999591827,34.1144943237305,34.6475944519043,1.68200000189245,0.65242201089859,319.626495361328,270.117828369141,914,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-32.75,-67.25
129,-2896279,-6737636,46,12.30129086,0.006904641,-28.96279,-67.37636,-28.96279,-67.37636,4675,4747,4711,SP,-1.57174801826477,-0.750222027301788,34.1660499572754,34.6489410400391,1.53400003910065,0.646416008472443,318.287506103516,271.941558837891,805,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-28.75,-67.25
130,-2510379,-6737636,46,12.30129086,0.006904641,-25.10379,-67.37636,-25.10379,-67.37636,4777,4826,4801,SP,-1.55926394462585,-0.759404003620148,34.2097587585449,34.651424407959,1.40900001861155,0.631668984889984,317.243286132813,273.692443847656,697,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-25.25,-67.25
131,-2124479,-6737636,43,12.18755115,0.005834421,-21.24479,-67.37636,-21.24479,-67.37636,4883,4914,4894,SP,-1.50775098800659,-0.750127971172333,34.177547454834,34.6513175964355,1.2910000514239102,0.614437997341156,316.072631835938,274.216644287109,589,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-21.25,-67.25
132,-1738579,-6737636,41,12.0026867,0.005834421,-17.38579,-67.37636,-17.38579,-67.37636,4898,4957,4928,SP,-1.48890697956085,-0.718870997428894,34.1576194763184,34.6488571166992,1.24500005040318,0.608273029327393,315.930877685547,273.815338134766,508,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-17.25,-67.25
133,-1352679,-6737636,42,12.65012375,0.005772801,-13.52679,-67.37636,-13.52679,-67.37636,4863,4952,4910,SP,-1.47683203220367,-0.698724985122681,34.1716423034668,34.6484260559082,1.2529999949038,0.598924994468689,314.791778564453,273.036437988281,470,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-13.75,-67.25
134,-966779,-6737636,43,13.21750183,0.006197292,-9.66779,-67.37636,-9.66779,-67.37636,4388,4945,4829,SP,-1.42884397506714,-0.659250020980835,34.1668663024902,34.6469078063965,1.34600000455976,0.586136996746063,314.504760742188,272.002044677734,419,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-9.75,-67.25
135,-580879,-6737636,46,13.21750283,0.006138686,-5.80879,-67.37636,-5.80879,-67.37636,4757,4893,4830,SP,-1.37851905822754,-0.59858500957489,34.1701889038086,34.646068572998,1.59600004553795,0.566377997398376,314.259826660156,270.01171875,384,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-5.75,-67.25
136,-194979,-6737636,45,12.65012475,0.005731619,-1.94979,-67.37636,-1.94979,-67.37636,4421,4703,4594,SP,-1.35809397697449,-0.542370021343231,34.1945571899414,34.6520652770996,1.51099998038262,0.544710993766785,312.99951171875,267.923828125,355,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-1.75,-67.25
137,190921,-6737636,45,12.65012475,0.005731619,1.90921,-67.37636,1.90921,-67.37636,4166,4588,4434,SP,-1.33879697322845,-0.547896981239319,34.1767196655273,34.6520652770996,1.41599995549768,0.523266971111298,314.019287109375,267.975341796875,384,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,1.75,-67.25
138,576821,-6737636,44,12.40056986,0.005282303,5.76821,-67.37636,5.76821,-67.37636,3918,4478,4281,SP,-1.32076096534729,-0.407110989093781,34.0453681945801,34.6549987792969,1.43800000660121,0.52192497253418,312.267974853516,262.285949707031,365,0.0,175.033246428571,1020.31575357143,-9999.0,0.0,0.0,0,,5.75,-67.25
139,962721,-6737636,44,12.40056986,0.005282303,9.62721,-67.37636,9.62721,-67.37636,3040,4044,3503,SP,-1.41224503517151,-0.0664739981293678,34.0032501220703,34.6678276062012,1.86499999836087,0.579285979270935,314.159118652344,252.437530517578,355,0.0,1142.963187251,52.385812749004,-9999.0,0.0,0.0,0,,9.75,-67.25
140,1348621,-6737636,41,12.35545536,0.005282303,13.48621,-67.37636,13.48621,-67.37636,3158,3414,3309,SP,-1.48545503616333,-0.150931999087334,34.0669250488281,34.6691207885742,2.3209999781101898,0.608999013900757,318.295715332031,247.542770385742,318,0.0,1195.349,0.0,-9999.0,0.0,0.0,0,,13.25,-67.25
141,1734521,-6737636,41,12.35545536,0.005282303,17.34521,-67.37636,17.34521,-67.37636,4337,4653,4494,SP,-1.3425680398941,-0.505194008350372,34.0735168457031,34.6629981994629,1.43699999898672,0.561325013637543,306.340942382813,254.183029174805,302,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,17.25,-67.25
142,2120421,-6737636,42,12.51231553,0.008072694,21.20421,-67.37636,21.20421,-67.37636,4195,4685,4446,SP,-1.31403994560242,-0.553982973098755,34.0197677612305,34.6656074523926,1.30300002638251,0.558385014533997,307.054992675781,254.776443481445,355,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,21.25,-67.25
143,2506321,-6737636,42,12.51231553,0.008072694,25.06321,-67.37636,25.06321,-67.37636,4092,4585,4352,SP,-1.38550496101379,-0.430763989686966,33.9345054626465,34.6613426208496,1.39800005126745,0.587108016014099,309.947326660156,250.545791625977,358,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,25.25,-67.25
144,2892221,-6737636,41,12.44237193,0.008072694,28.92221,-67.37636,28.92221,-67.37636,3876,4092,3987,SP,-1.44208002090454,-0.34137898683548,33.9393081665039,34.658031463623,1.61000003572553,0.586117029190063,315.987243652344,246.954299926758,272,0.0,686.21887037037,509.13012962963,-9999.0,0.0,0.0,0,,28.75,-67.25
145,3278121,-6737636,40,12.93096708,0.008497873,32.78121,-67.37636,32.78121,-67.37636,962,1636,1178,SP,-1.47828304767609,1.33685994148254,33.9411964416504,34.6896858215332,2.25899997167289,0.595727980136871,338.909423828125,238.470397949219,190,0.0,1195.349,0.0,-9999.0,0.0,0.0,0,,32.75,-67.25
146,3664021,-6737636,39,12.46533705,0.008297363,36.64021,-67.37636,36.64021,-67.37636,3202,4271,3949,SP,-1.40008401870728,-0.385313987731934,34.0182304382324,34.6503028869629,2.0000000949949,0.566000998020172,329.185211181641,242.226165771484,218,0.0,892.318523854069,303.030476145931,-9999.0,0.0,0.0,0,,36.75,-67.25
147,4049921,-6737636,40,12.61194833,0.008379947,40.49921,-67.37636,40.49921,-67.37636,2294,3753,2911,SP,-1.43051302433014,0.0343700014054775,34.0141677856445,34.6607856750488,1.87000003643334,0.586049973964691,335.971435546875,234.01530456543,140,0.0,1195.349,0.0,-9999.0,0.0,0.0,1,,40.25,-67.25
